ProjectName,TeamName,MeasureName,SeriesName,TimePeriod,Team Active Status,Value1,Value2,AbbrevName,Volume,Type,Improvement Cohort,,,original in Extranet,abbrev,Pre work Volume,Type,Improvement Cohort
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count THA,EvergreenHealth,5/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count THA,EvergreenHealth,6/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count THA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count THA,EvergreenHealth,8/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,1/1/2014 0:00,TRUE,1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,2/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,3/1/2014 0:00,TRUE,1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,4/1/2014 0:00,TRUE,3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,5/1/2014 0:00,TRUE,1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,6/1/2014 0:00,TRUE,1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Count TKA,EvergreenHealth,8/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,1/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,2/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,3/1/2014 0:00,TRUE,10,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,4/1/2014 0:00,TRUE,6.7,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,5/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,6/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate THA,EvergreenHealth,8/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,1/1/2014 0:00,TRUE,2.4,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,2/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,3/1/2014 0:00,TRUE,2.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,4/1/2014 0:00,TRUE,7.9,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,5/1/2014 0:00,TRUE,2.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,6/1/2014 0:00,TRUE,2.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,30-day all cause Readmission Rate TKA,EvergreenHealth,8/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,1/1/2014 0:00,TRUE,1.6,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,2/1/2014 0:00,TRUE,2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,3/1/2014 0:00,TRUE,2.7,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,4/1/2014 0:00,TRUE,1.9,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,5/1/2014 0:00,TRUE,2.1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,6/1/2014 0:00,TRUE,1.9,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,7/1/2014 0:00,TRUE,1.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,8/1/2014 0:00,TRUE,1.9,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS THA,EvergreenHealth,9/1/2014 0:00,TRUE,1.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,1/1/2014 0:00,TRUE,2.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,2/1/2014 0:00,TRUE,2.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,3/1/2014 0:00,TRUE,2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,4/1/2014 0:00,TRUE,2.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,5/1/2014 0:00,TRUE,2.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,6/1/2014 0:00,TRUE,1.9,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,7/1/2014 0:00,TRUE,2.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,8/1/2014 0:00,TRUE,2.1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Average LOS TKA,EvergreenHealth,9/1/2014 0:00,TRUE,2.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,1/1/2014 0:00,TRUE,16,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,2/1/2014 0:00,TRUE,14,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,3/1/2014 0:00,TRUE,10,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,4/1/2014 0:00,TRUE,15,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,5/1/2014 0:00,TRUE,20,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,6/1/2014 0:00,TRUE,12,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,7/1/2014 0:00,TRUE,11,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,8/1/2014 0:00,TRUE,18,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with THA,EvergreenHealth,9/1/2014 0:00,TRUE,17,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,1/1/2014 0:00,TRUE,41,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,2/1/2014 0:00,TRUE,29,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,3/1/2014 0:00,TRUE,45,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,4/1/2014 0:00,TRUE,38,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,5/1/2014 0:00,TRUE,40,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,6/1/2014 0:00,TRUE,42,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,7/1/2014 0:00,TRUE,41,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,8/1/2014 0:00,TRUE,28,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Number of Patients with TKA,EvergreenHealth,9/1/2014 0:00,TRUE,35,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,1/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,2/1/2014 0:00,TRUE,78.6,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,3/1/2014 0:00,TRUE,90,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,4/1/2014 0:00,TRUE,86.7,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,5/1/2014 0:00,TRUE,85,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,6/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,7/1/2014 0:00,TRUE,81.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,8/1/2014 0:00,TRUE,83.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home THA,EvergreenHealth,9/1/2014 0:00,TRUE,76.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,1/1/2014 0:00,TRUE,90.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,2/1/2014 0:00,TRUE,90.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,3/1/2014 0:00,TRUE,82.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,4/1/2014 0:00,TRUE,82.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,5/1/2014 0:00,TRUE,89.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,6/1/2014 0:00,TRUE,87.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,7/1/2014 0:00,TRUE,90.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,8/1/2014 0:00,TRUE,85.7,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged Home TKA,EvergreenHealth,9/1/2014 0:00,TRUE,88.6,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,1/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,2/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,3/1/2014 0:00,TRUE,10,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,4/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,5/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,6/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,8/1/2014 0:00,TRUE,5.6,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient THA,EvergreenHealth,9/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,1/1/2014 0:00,TRUE,2.4,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,2/1/2014 0:00,TRUE,2.4,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,3/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,4/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,5/1/2014 0:00,TRUE,5.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,6/1/2014 0:00,TRUE,2.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,7/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,8/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - inpatient TKA,EvergreenHealth,9/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,1/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,2/1/2014 0:00,TRUE,21.4,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,3/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,4/1/2014 0:00,TRUE,13.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,5/1/2014 0:00,TRUE,15,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,6/1/2014 0:00,TRUE,0,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,7/1/2014 0:00,TRUE,18.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,8/1/2014 0:00,TRUE,11.1,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF THA,EvergreenHealth,9/1/2014 0:00,TRUE,23.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,1/1/2014 0:00,TRUE,7.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,2/1/2014 0:00,TRUE,7.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,3/1/2014 0:00,TRUE,17.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,4/1/2014 0:00,TRUE,17.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,5/1/2014 0:00,TRUE,5.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,6/1/2014 0:00,TRUE,10,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,7/1/2014 0:00,TRUE,9.8,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,8/1/2014 0:00,TRUE,14.3,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Discharged to rehab - SNF TKA,EvergreenHealth,9/1/2014 0:00,TRUE,11.4,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,1/1/2014 0:00,TRUE,0,57,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,2/1/2014 0:00,TRUE,0,43,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,3/1/2014 0:00,TRUE,0,55,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,4/1/2014 0:00,TRUE,0,53,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,5/1/2014 0:00,TRUE,0,60,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,6/1/2014 0:00,TRUE,0,54,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,7/1/2014 0:00,TRUE,0,52,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,8/1/2014 0:00,TRUE,0,46,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent Pre-Surgery PRO Administration,EvergreenHealth,9/1/2014 0:00,TRUE,0,52,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,1/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,2/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,3/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,4/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,5/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,6/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,7/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,8/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,EvergreenHealth,9/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,EvergreenHealth,1/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,EvergreenHealth,2/1/2014 0:00,TRUE,97.5,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,EvergreenHealth,3/1/2014 0:00,TRUE,97.2,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,EvergreenHealth,4/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,EvergreenHealth,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,EvergreenHealth,5/1/2014 0:00,TRUE,100,,Evergreen,680,Community,Managing Across Cycle of Care,,,,,,,
